file_path,modes,best_affinity_kcal_mol,worst_affinity_kcal_mol,mean_affinity_kcal_mol,median_affinity_kcal_mol,score_spread_kcal_mol
results/docking/poses/curcumin-mmp8.pdbqt,9,-7.7,-7.3,-7.522,-7.5,0.4
results/docking/poses/propranolol.pdbqt,9,-7.6,-6.7,-6.967,-6.9,0.9
results/docking/poses/quercetin-mmp9.pdbqt,9,-9.7,-8.6,-9.122,-9.1,1.1
